,ID,Noun Matches,Stance
386,1213,0,unrelated
387,2338,0,unrelated
388,2410,0,unrelated
389,490,0,unrelated
390,1256,1,unrelated
391,530,0,unrelated
392,2305,0,disagree
393,1002,0,unrelated
394,1860,1,agree
395,1217,0,unrelated
396,2225,2,disagree
397,1575,0,unrelated
398,520,16,discuss
399,1408,0,unrelated
400,1461,0,unrelated
401,7,0,unrelated
402,699,0,unrelated
403,1339,0,unrelated
404,1534,8,unrelated
405,1814,0,unrelated
406,1790,0,unrelated
407,514,0,disagree
408,1959,5,agree
409,458,14,discuss
410,1380,8,agree
411,1360,0,unrelated
412,1237,12,discuss
413,1368,7,unrelated
414,54,0,unrelated
415,1296,0,unrelated
416,2415,0,unrelated
417,1278,0,unrelated
418,1008,9,agree
419,1283,0,unrelated
420,1787,4,unrelated
421,1912,13,discuss
422,621,0,unrelated
423,1871,0,unrelated
424,1103,0,unrelated
425,365,0,unrelated
426,2497,25,discuss
427,1875,0,unrelated
428,1131,0,unrelated
429,614,22,discuss
430,867,5,discuss
431,961,0,unrelated
432,1682,19,discuss
433,1946,28,discuss
434,2213,0,unrelated
435,2076,6,agree
436,1906,0,unrelated
437,2016,0,unrelated
438,837,24,discuss
439,2424,1,agree
440,304,1,unrelated
441,983,0,discuss
442,220,1,unrelated
443,2163,0,unrelated
444,761,0,unrelated
445,932,0,unrelated
446,1877,2,unrelated
447,550,0,unrelated
448,1202,25,discuss
449,1395,0,unrelated
450,2450,11,agree
451,1502,1,unrelated
452,664,0,unrelated
453,936,8,discuss
454,2524,12,agree
455,1289,1,unrelated
456,1789,0,unrelated
457,676,0,unrelated
458,1045,13,discuss
459,1494,0,unrelated
460,2326,12,agree
461,521,0,unrelated
462,1857,0,unrelated
463,2249,21,discuss
464,609,0,unrelated
465,1594,7,disagree
466,695,0,unrelated
467,803,0,unrelated
468,144,0,unrelated
469,2257,7,agree
470,856,14,discuss
471,959,0,unrelated
472,574,0,unrelated
473,343,21,agree
474,1303,9,disagree
475,2215,3,agree
476,1831,9,agree
477,2375,0,unrelated
478,1670,0,unrelated
479,2314,0,unrelated
480,322,0,unrelated
481,498,0,unrelated
482,1346,4,discuss
483,1446,9,discuss
484,208,0,unrelated
485,450,0,unrelated
486,853,2,unrelated
487,1738,5,discuss
488,2043,0,unrelated
489,532,0,unrelated
490,2202,10,discuss
491,2236,19,discuss
492,1187,11,discuss
493,387,1,unrelated
494,2230,1,unrelated
495,858,0,unrelated
496,1249,1,discuss
497,1921,0,unrelated
498,2079,7,discuss
499,1143,0,unrelated
500,2067,28,agree
501,456,0,unrelated
502,2002,18,discuss
503,2118,0,unrelated
504,1916,4,discuss
505,2109,0,unrelated
506,1820,0,unrelated
507,2129,14,discuss
508,93,0,unrelated
509,2134,0,unrelated
510,2020,0,unrelated
511,251,0,unrelated
512,1271,0,unrelated
513,1608,13,discuss
514,2472,0,unrelated
515,755,0,unrelated
516,78,0,unrelated
517,2360,12,agree
518,2525,0,unrelated
519,1867,12,discuss
520,483,10,discuss
521,1073,0,unrelated
522,2519,7,discuss
523,1673,0,unrelated
524,600,38,discuss
525,1485,9,discuss
526,634,0,unrelated
527,1799,3,agree
528,1268,0,unrelated
529,1863,0,unrelated
530,714,0,unrelated
531,1760,0,unrelated
532,169,0,unrelated
533,2009,0,unrelated
534,1897,0,unrelated
535,2265,2,unrelated
536,1660,0,unrelated
537,2152,0,unrelated
538,1554,43,discuss
539,578,0,unrelated
540,2372,0,unrelated
541,2251,9,discuss
542,1642,0,unrelated
543,1900,0,unrelated
544,267,2,unrelated
545,2434,0,unrelated
546,2102,0,unrelated
547,195,0,unrelated
548,903,0,unrelated
549,2068,6,unrelated
550,204,1,unrelated
551,1361,1,unrelated
552,1090,2,discuss
553,1680,3,unrelated
554,2330,0,unrelated
555,258,0,unrelated
556,2060,15,disagree
557,1549,0,unrelated
558,2272,26,discuss
559,991,16,discuss
560,542,0,unrelated
561,1099,2,discuss
562,662,0,unrelated
563,1589,26,discuss
564,1891,5,discuss
565,722,0,unrelated
566,34,0,unrelated
567,860,0,unrelated
568,804,14,agree
569,1742,18,agree
570,706,0,unrelated
571,1313,10,discuss
572,107,0,unrelated
573,999,17,discuss
574,2411,0,unrelated
575,2452,13,discuss
576,2385,0,unrelated
577,1024,0,unrelated
578,686,0,unrelated
579,966,5,agree
580,1295,0,agree
581,862,13,discuss
582,277,0,unrelated
583,2284,0,unrelated
584,1351,0,unrelated
585,117,30,discuss
586,1192,14,discuss
587,1957,9,disagree
588,1330,3,discuss
589,2070,0,unrelated
590,2351,8,agree
591,1544,10,agree
592,2317,7,discuss
593,1984,3,agree
594,951,52,discuss
595,2362,0,unrelated
596,1016,3,discuss
597,2370,6,unrelated
598,1764,1,agree
599,1926,2,disagree
600,1178,0,unrelated
601,1843,0,unrelated
602,1731,0,agree
603,1233,12,discuss
604,2387,25,discuss
605,2091,1,unrelated
606,1656,3,discuss
607,522,7,discuss
608,1225,0,unrelated
609,55,1,unrelated
610,442,0,unrelated
611,2281,0,unrelated
612,1478,10,agree
613,17,0,unrelated
614,830,0,unrelated
615,649,18,agree
616,1298,23,discuss
617,2389,9,discuss
618,1041,5,discuss
619,1889,0,discuss
620,748,0,unrelated
621,793,0,unrelated
622,1292,0,unrelated
623,2511,12,discuss
624,331,0,unrelated
625,2180,12,agree
626,1336,3,discuss
627,2481,0,unrelated
628,2124,0,unrelated
629,958,0,unrelated
630,1588,10,discuss
631,1179,0,unrelated
632,1637,0,unrelated
633,825,0,unrelated
634,909,11,discuss
635,822,3,unrelated
636,1939,20,discuss
637,2501,0,unrelated
638,1517,0,agree
639,2468,11,agree
640,269,1,unrelated
641,2386,6,discuss
642,1893,0,unrelated
643,1689,4,discuss
644,2277,0,unrelated
645,1480,15,discuss
646,1788,34,discuss
647,2042,21,disagree
648,480,0,unrelated
649,30,0,unrelated
650,2039,24,discuss
651,1797,14,disagree
652,1606,1,unrelated
653,531,0,unrelated
654,477,0,unrelated
655,244,12,agree
656,2343,10,discuss
657,2162,7,discuss
658,1393,0,unrelated
659,505,1,unrelated
660,529,0,unrelated
661,1010,4,discuss
662,1437,0,unrelated
663,1379,0,unrelated
664,1370,11,discuss
665,2328,0,unrelated
666,1263,6,unrelated
667,684,0,unrelated
668,2521,1,unrelated
669,80,0,unrelated
670,1936,0,unrelated
671,1802,0,unrelated
672,18,3,agree
673,1772,0,unrelated
674,2523,0,unrelated
675,2075,17,discuss
676,1974,1,unrelated
677,1865,3,discuss
678,161,0,unrelated
679,1311,0,unrelated
680,2266,2,unrelated
681,454,12,agree
682,559,0,unrelated
683,1198,0,unrelated
684,2187,0,unrelated
685,741,0,unrelated
686,1715,5,discuss
687,737,0,unrelated
688,1938,2,unrelated
689,1079,21,discuss
690,1885,30,discuss
691,1260,9,agree
692,704,0,unrelated
693,431,0,unrelated
694,424,0,unrelated
695,805,0,unrelated
696,2365,16,discuss
697,1746,2,unrelated
698,1308,11,discuss
699,950,1,unrelated
700,756,4,discuss
701,87,0,unrelated
702,2055,0,unrelated
703,206,0,unrelated
704,1538,2,unrelated
705,62,0,unrelated
706,1369,0,unrelated
707,650,0,unrelated
708,942,3,discuss
709,1862,2,discuss
710,1503,0,unrelated
711,1651,1,unrelated
712,1757,2,discuss
713,989,0,unrelated
714,1613,19,discuss
715,23,1,unrelated
716,2334,3,discuss
717,692,0,unrelated
718,29,3,unrelated
719,1182,0,discuss
720,1688,5,discuss
721,11,0,unrelated
722,997,0,unrelated
723,1319,0,unrelated
724,1166,62,discuss
725,2508,0,unrelated
726,1177,0,unrelated
727,2443,0,unrelated
728,1848,0,unrelated
729,1564,6,discuss
730,2159,2,discuss
731,1269,0,unrelated
732,1012,2,discuss
733,22,0,unrelated
734,1288,0,discuss
735,1873,0,unrelated
736,551,0,unrelated
737,2470,1,unrelated
738,1222,0,unrelated
739,1839,0,unrelated
740,2256,0,unrelated
741,1740,0,unrelated
742,2142,10,agree
743,1375,22,agree
744,2498,1,unrelated
745,10,0,unrelated
746,2303,0,unrelated
747,1224,0,unrelated
748,667,1,unrelated
749,1708,0,unrelated
750,377,16,unrelated
751,451,14,discuss
752,2506,0,unrelated
753,1837,0,unrelated
754,1901,0,unrelated
755,1640,3,agree
756,1539,0,unrelated
757,1735,7,disagree
758,2024,0,unrelated
759,928,0,discuss
760,1312,0,unrelated
761,359,1,unrelated
762,1752,16,agree
763,725,25,agree
764,1543,0,unrelated
765,2414,0,unrelated
766,1426,0,unrelated
767,754,1,unrelated
768,1917,0,unrelated
769,2015,12,agree
770,1252,1,unrelated
771,1022,0,unrelated
772,1317,23,discuss
773,1407,7,agree
774,572,0,unrelated
775,2052,0,disagree
776,1001,19,discuss
777,1466,0,unrelated
778,818,0,unrelated
779,691,0,unrelated
780,1294,0,unrelated
781,1422,0,unrelated
782,817,5,discuss
783,626,0,unrelated
784,2496,11,agree
785,979,0,unrelated
786,68,0,unrelated
787,1173,9,discuss
788,663,0,unrelated
789,824,15,agree
790,1970,15,agree
791,880,10,discuss
792,350,19,discuss
793,2528,0,unrelated
794,60,6,unrelated
795,1565,15,discuss
796,1954,0,unrelated
797,1240,0,unrelated
798,2329,0,unrelated
799,308,0,unrelated
800,1183,2,discuss
801,585,0,unrelated
802,2184,0,unrelated
803,1197,0,unrelated
804,1940,0,unrelated
805,683,0,unrelated
806,2278,0,unrelated
807,170,2,unrelated
808,516,0,discuss
809,1075,17,agree
810,1853,0,unrelated
811,2114,0,unrelated
812,1869,0,unrelated
813,654,2,discuss
814,1646,0,unrelated
815,800,1,unrelated
816,1384,0,unrelated
817,1036,2,unrelated
818,2379,7,unrelated
819,1976,12,disagree
820,1097,4,unrelated
821,2480,0,unrelated
822,1644,13,unrelated
823,1019,0,unrelated
824,1410,0,agree
825,2092,0,unrelated
826,2028,0,unrelated
827,1659,8,discuss
828,1331,0,unrelated
829,2123,0,unrelated
830,72,0,unrelated
831,2405,21,discuss
832,2044,0,unrelated
833,209,5,unrelated
834,1895,53,discuss
835,13,0,unrelated
836,105,0,unrelated
837,2297,10,agree
838,1205,4,discuss
839,398,19,discuss
840,1638,8,agree
841,623,1,agree
842,2458,0,unrelated
843,1707,0,unrelated
844,15,0,unrelated
845,1047,0,unrelated
846,1459,0,unrelated
847,829,3,unrelated
848,1027,21,discuss
849,1412,9,agree
850,1890,4,discuss
851,1965,20,agree
852,933,0,discuss
853,447,4,discuss
854,1042,0,unrelated
855,1925,9,agree
856,1855,3,discuss
857,1076,5,discuss
858,1858,0,disagree
859,1806,0,unrelated
860,1785,16,discuss
861,1678,0,unrelated
862,1815,0,unrelated
863,283,27,disagree
864,2529,5,agree
865,2197,3,unrelated
866,239,0,unrelated
867,1137,0,unrelated
868,2234,0,unrelated
869,299,0,unrelated
870,1239,0,unrelated
871,225,0,unrelated
872,370,22,discuss
873,324,0,unrelated
874,2515,0,agree
875,402,0,unrelated
876,2191,18,discuss
877,1978,36,agree
878,286,0,unrelated
879,1913,5,agree
880,446,14,discuss
881,968,0,unrelated
882,1645,4,discuss
883,1666,8,agree
884,938,8,discuss
885,760,0,unrelated
886,1195,0,unrelated
887,1424,59,discuss
888,1018,10,discuss
889,2261,3,unrelated
890,2218,0,unrelated
891,1467,12,agree
892,651,0,unrelated
893,1293,12,unrelated
894,742,0,unrelated
895,1364,0,unrelated
896,1866,11,discuss
897,769,0,unrelated
898,917,0,unrelated
899,5,0,unrelated
900,1167,0,discuss
901,1083,0,unrelated
902,1834,9,unrelated
903,2034,0,unrelated
904,2413,1,disagree
905,1365,2,discuss
906,1692,32,discuss
907,503,9,agree
908,591,0,unrelated
909,83,0,disagree
910,892,0,unrelated
911,2221,34,agree
912,2309,0,unrelated
913,1615,11,discuss
914,2219,3,discuss
915,428,0,unrelated
916,1751,0,unrelated
917,1498,0,unrelated
918,1679,0,unrelated
919,1880,11,agree
920,1506,0,unrelated
921,2440,0,discuss
922,1357,0,unrelated
923,385,0,unrelated
924,2364,1,discuss
925,798,14,discuss
926,2090,0,unrelated
927,397,10,agree
928,819,2,unrelated
929,2153,8,discuss
930,382,0,unrelated
931,2280,1,unrelated
932,272,12,discuss
933,99,0,unrelated
934,2264,6,discuss
935,1049,0,unrelated
936,1139,20,discuss
937,1622,3,discuss
938,2476,0,unrelated
939,1180,0,unrelated
940,1323,0,unrelated
941,130,0,unrelated
942,1333,0,disagree
943,1775,3,agree
944,752,0,unrelated
945,533,2,unrelated
946,14,10,discuss
947,1996,6,agree
948,116,0,unrelated
949,713,3,discuss
950,414,19,discuss
951,226,0,unrelated
952,405,10,unrelated
953,2171,4,agree
954,1267,33,discuss
955,1610,4,agree
956,1840,3,unrelated
957,1559,11,agree
958,305,0,unrelated
959,1442,2,unrelated
960,236,0,unrelated
961,2200,8,discuss
962,2469,13,discuss
963,388,0,unrelated
964,1094,0,unrelated
965,1822,1,discuss
966,1835,0,unrelated
967,1325,0,unrelated
968,1056,1,discuss
969,2454,12,discuss
970,1971,0,unrelated
971,330,3,unrelated
972,1185,9,discuss
973,2459,0,unrelated
974,1122,23,discuss
975,945,0,unrelated
976,1920,4,discuss
977,1433,5,agree
978,2103,7,discuss
979,126,0,unrelated
980,2072,0,unrelated
981,655,13,disagree
982,1398,0,unrelated
983,2093,1,discuss
984,1427,11,agree
985,744,0,unrelated
986,2399,23,discuss
987,1781,0,discuss
988,1465,0,unrelated
989,612,0,unrelated
990,493,0,unrelated
991,833,0,unrelated
992,168,0,unrelated
993,235,0,unrelated
994,1584,0,unrelated
995,1388,69,discuss
996,2247,0,unrelated
997,1531,15,disagree
998,2483,0,unrelated
999,0,0,unrelated
1000,1585,26,discuss
1001,2354,0,unrelated
1002,1826,0,unrelated
1003,632,0,discuss
1004,2167,0,unrelated
1005,1836,26,discuss
1006,557,0,unrelated
1007,988,2,agree
1008,1430,34,discuss
1009,2417,5,discuss
1010,1161,16,agree
1011,1071,0,unrelated
1012,2113,15,discuss
1013,569,0,unrelated
1014,1911,19,discuss
1015,88,2,unrelated
1016,1329,4,discuss
1017,1649,0,unrelated
1018,1153,28,discuss
1019,2250,6,discuss
1020,1247,4,agree
1021,643,27,unrelated
1022,1747,1,agree
1023,484,8,discuss
1024,1573,7,disagree
1025,787,11,agree
1026,2224,1,discuss
1027,1116,41,discuss
1028,648,1,unrelated
1029,1745,2,agree
1030,1761,7,discuss
1031,1669,0,discuss
1032,1184,0,agree
1033,1876,17,agree
1034,944,0,unrelated
1035,1813,0,unrelated
1036,1771,18,discuss
1037,1904,1,discuss
1038,2211,13,discuss
1039,1521,0,unrelated
1040,1989,0,discuss
1041,652,22,unrelated
1042,1069,0,unrelated
1043,1724,0,unrelated
1044,1794,9,discuss
1045,789,1,unrelated
1046,630,0,unrelated
1047,433,3,discuss
1048,1817,0,unrelated
1049,1210,0,unrelated
1050,396,0,unrelated
1051,2037,19,agree
1052,571,0,unrelated
1053,682,0,unrelated
1054,409,0,unrelated
1055,368,2,discuss
1056,2490,24,discuss
1057,203,14,discuss
1058,518,0,unrelated
1059,1807,0,unrelated
1060,2471,11,unrelated
1061,1598,3,discuss
1062,1829,0,unrelated
1063,1756,12,discuss
1064,2408,8,discuss
1065,1515,11,agree
1066,1981,0,agree
1067,2391,4,agree
1068,2242,10,agree
1069,2181,38,agree
1070,499,0,unrelated
1071,931,4,discuss
1072,1028,0,unrelated
1073,260,0,unrelated
1074,504,0,unrelated
1075,616,12,discuss
1076,1630,6,discuss
1077,188,4,agree
1078,677,0,unrelated
1079,564,11,discuss
1080,1841,10,agree
1081,1567,0,unrelated
1082,1791,0,agree
1083,1413,0,unrelated
1084,1530,0,unrelated
1085,2502,13,agree
1086,2371,0,unrelated
1087,77,0,unrelated
1088,794,3,disagree
1089,840,37,discuss
1090,2125,8,disagree
1091,438,0,unrelated
1092,497,10,agree
1093,342,0,unrelated
1094,2062,2,discuss
1095,104,0,unrelated
1096,425,0,unrelated
1097,2058,0,unrelated
1098,2088,0,unrelated
1099,1258,49,agree
1100,2172,1,discuss
1101,2276,19,discuss
1102,2514,10,discuss
1103,2431,0,unrelated
1104,2144,5,discuss
1105,281,0,unrelated
1106,1473,13,disagree
1107,1721,3,discuss
1108,217,0,unrelated
1109,2322,41,discuss
1110,526,0,unrelated
1111,1141,19,discuss
1112,1342,0,unrelated
1113,592,0,unrelated
1114,224,10,agree
1115,2274,2,disagree
1116,1077,0,unrelated
1117,2445,3,agree
1118,947,6,discuss
1119,45,0,unrelated
1120,1000,0,unrelated
1121,508,0,unrelated
1122,781,34,agree
1123,955,0,unrelated
1124,2447,32,agree
1125,2155,11,discuss
1126,1774,32,discuss
1127,240,0,unrelated
1128,1206,12,agree
1129,2283,2,unrelated
1130,1686,0,unrelated
1131,1383,0,unrelated
1132,657,12,discuss
1133,2080,11,discuss
1134,1176,0,unrelated
1135,599,10,discuss
1136,740,3,agree
1137,1931,0,unrelated
1138,2348,0,unrelated
1139,732,7,agree
1140,44,11,agree
1141,263,0,unrelated
1142,347,0,unrelated
1143,1619,2,discuss
1144,1611,0,discuss
1145,48,16,agree
1146,2017,15,discuss
1147,719,0,unrelated
1148,91,3,agree
1149,1291,0,unrelated
1150,658,0,unrelated
1151,2263,5,agree
1152,234,1,unrelated
1153,2148,6,discuss
1154,2201,18,discuss
1155,795,0,disagree
1156,601,0,unrelated
1157,891,0,unrelated
1158,842,2,discuss
1159,413,0,unrelated
1160,2409,8,discuss
1161,782,36,agree
1162,1507,16,discuss
1163,242,0,unrelated
1164,845,0,unrelated
1165,2438,12,discuss
1166,2349,29,unrelated
1167,2485,21,discuss
1168,2241,1,discuss
1169,404,0,unrelated
1170,2420,3,unrelated
1171,1709,0,unrelated
1172,1245,0,disagree
1173,1136,4,discuss
1174,2053,36,agree
1175,2376,77,discuss
1176,1006,5,unrelated
1177,2208,0,unrelated
1178,444,0,unrelated
1179,920,2,discuss
1180,1087,0,unrelated
1181,1819,6,agree
1182,1562,0,unrelated
1183,1595,16,discuss
1184,2069,10,discuss
1185,478,0,unrelated
1186,1340,2,discuss
1187,1095,11,agree
1188,1979,0,unrelated
1189,2419,0,unrelated
1190,2018,0,discuss
1191,120,9,discuss
1192,1352,14,discuss
1193,1560,0,unrelated
1194,1474,2,agree
1195,2369,7,agree
1196,2473,0,unrelated
1197,1219,5,agree
1198,628,8,discuss
1199,1828,18,discuss
1200,70,17,agree
1201,545,0,unrelated
1202,1487,22,discuss
1203,886,0,unrelated
1204,2474,18,discuss
1205,1140,6,agree
1206,2185,1,unrelated
1207,2478,3,agree
1208,1277,0,unrelated
1209,51,0,unrelated
1210,2166,3,agree
1211,2432,0,unrelated
1212,939,9,discuss
1213,1254,3,discuss
1214,674,0,agree
1215,607,0,unrelated
1216,162,8,discuss
1217,2397,5,discuss
1218,1918,0,discuss
1219,708,13,discuss
1220,586,0,unrelated
1221,1955,3,discuss
1222,1722,3,discuss
1223,1492,14,agree
1224,1535,0,unrelated
1225,727,11,unrelated
1226,509,24,discuss
1227,1488,8,discuss
1228,1307,3,discuss
1229,500,0,unrelated
1230,846,0,unrelated
1231,1524,0,unrelated
1232,2212,11,agree
1233,399,0,unrelated
